filename,specimen_id,fold,split
Eocanthecona_Bug_A__00001IMG_00001_BURST20190912100516.jpg,00001,fold_0,train
Eocanthecona_Bug_A__00001IMG_00001_BURST20190912100618.jpg,00001,fold_0,train
Eocanthecona_Bug_A__00001IMG_00001_BURST20190912100717.jpg,00001,fold_0,train
Eocanthecona_Bug_A__00001IMG_00001_BURST20190912100850.jpg,00001,fold_0,train
Eocanthecona_Bug_A__00001IMG_00001_BURST20190912101003.jpg,00001,fold_0,train
Eocanthecona_Bug_A__00001IMG_00001_BURST20190912101022.jpg,00001,fold_0,train
Eocanthecona_Bug_A__00001IMG_00001_BURST20190912101457.jpg,00001,fold_0,train
Eocanthecona_Bug_A__00001IMG_00001_BURST20190912101631.jpg,00001,fold_0,train
Eocanthecona_Bug_A__00001IMG_00001_BURST20190912101836.jpg,00001,fold_0,train
Eocanthecona_Bug_A__00001IMG_00001_BURST20190913102614.jpg,00001,fold_0,train
Eocanthecona_Bug_A__00001IMG_00001_BURST20190913102732.jpg,00001,fold_0,train
Eocanthecona_Bug_A__00001IMG_00001_BURST20190913102845.jpg,00001,fold_0,train
Eocanthecona_Bug_A__00001IMG_00001_BURST20190913103037.jpg,00001,fold_0,train
Eocanthecona_Bug_A__00001IMG_00001_BURST20190913115038.jpg,00001,fold_0,train
Eocanthecona_Bug_A__00002IMG_00002_BURST20190912100516.jpg,00002,fold_0,train
Eocanthecona_Bug_A__00002IMG_00002_BURST20190912100618.jpg,00002,fold_0,train
Eocanthecona_Bug_A__00002IMG_00002_BURST20190912100717.jpg,00002,fold_0,train
Eocanthecona_Bug_A__00002IMG_00002_BURST20190912100850.jpg,00002,fold_0,train
Eocanthecona_Bug_A__00002IMG_00002_BURST20190912101003.jpg,00002,fold_0,train
Eocanthecona_Bug_A__00002IMG_00002_BURST20190912101022.jpg,00002,fold_0,train
Eocanthecona_Bug_A__00002IMG_00002_BURST20190912101457.jpg,00002,fold_0,train
Eocanthecona_Bug_A__00002IMG_00002_BURST20190912101631.jpg,00002,fold_0,train
Eocanthecona_Bug_A__00002IMG_00002_BURST20190912101836.jpg,00002,fold_0,train
Eocanthecona_Bug_A__00002IMG_00002_BURST20190913102614.jpg,00002,fold_0,train
Eocanthecona_Bug_A__00002IMG_00002_BURST20190913102732.jpg,00002,fold_0,train
Eocanthecona_Bug_A__00002IMG_00002_BURST20190913102845.jpg,00002,fold_0,train
Eocanthecona_Bug_A__00002IMG_00002_BURST20190913103037.jpg,00002,fold_0,train
Eocanthecona_Bug_A__00002IMG_00002_BURST20190913115038.jpg,00002,fold_0,train
Eocanthecona_Bug_A__00004IMG_00004_BURST20190912100516.jpg,00004,fold_0,train
Eocanthecona_Bug_A__00004IMG_00004_BURST20190912100618.jpg,00004,fold_0,train
Eocanthecona_Bug_A__00004IMG_00004_BURST20190912100717.jpg,00004,fold_0,train
Eocanthecona_Bug_A__00004IMG_00004_BURST20190912100850.jpg,00004,fold_0,train
Eocanthecona_Bug_A__00004IMG_00004_BURST20190912101003.jpg,00004,fold_0,train
Eocanthecona_Bug_A__00004IMG_00004_BURST20190912101022.jpg,00004,fold_0,train
Eocanthecona_Bug_A__00004IMG_00004_BURST20190912101457.jpg,00004,fold_0,train
Eocanthecona_Bug_A__00004IMG_00004_BURST20190912101631.jpg,00004,fold_0,train
Eocanthecona_Bug_A__00004IMG_00004_BURST20190912101836.jpg,00004,fold_0,train
Eocanthecona_Bug_A__00004IMG_00004_BURST20190913102614.jpg,00004,fold_0,train
Eocanthecona_Bug_A__00004IMG_00004_BURST20190913102732.jpg,00004,fold_0,train
Eocanthecona_Bug_A__00004IMG_00004_BURST20190913102845.jpg,00004,fold_0,train
Eocanthecona_Bug_A__00004IMG_00004_BURST20190913103037.jpg,00004,fold_0,train
Eocanthecona_Bug_A__00004IMG_00004_BURST20190913115038.jpg,00004,fold_0,train
Eocanthecona_Bug_A__00005IMG_00005_BURST20190912100516.jpg,00005,fold_0,train
Eocanthecona_Bug_A__00005IMG_00005_BURST20190912100618.jpg,00005,fold_0,train
Eocanthecona_Bug_A__00005IMG_00005_BURST20190912100717.jpg,00005,fold_0,train
Eocanthecona_Bug_A__00005IMG_00005_BURST20190912100850.jpg,00005,fold_0,train
Eocanthecona_Bug_A__00005IMG_00005_BURST20190912101003.jpg,00005,fold_0,train
Eocanthecona_Bug_A__00005IMG_00005_BURST20190912101022.jpg,00005,fold_0,train
Eocanthecona_Bug_A__00005IMG_00005_BURST20190912101457.jpg,00005,fold_0,train
Eocanthecona_Bug_A__00005IMG_00005_BURST20190912101631.jpg,00005,fold_0,train
Eocanthecona_Bug_A__00005IMG_00005_BURST20190912101836.jpg,00005,fold_0,train
Eocanthecona_Bug_A__00005IMG_00005_BURST20190913102614.jpg,00005,fold_0,train
Eocanthecona_Bug_A__00005IMG_00005_BURST20190913102732.jpg,00005,fold_0,train
Eocanthecona_Bug_A__00005IMG_00005_BURST20190913102845.jpg,00005,fold_0,train
Eocanthecona_Bug_A__00005IMG_00005_BURST20190913103037.jpg,00005,fold_0,train
Eocanthecona_Bug_A__00005IMG_00005_BURST20190913115038.jpg,00005,fold_0,train
Eocanthecona_Bug_A__00006IMG_00006_BURST20190912100516.jpg,00006,fold_0,train
Eocanthecona_Bug_A__00006IMG_00006_BURST20190912100618.jpg,00006,fold_0,train
Eocanthecona_Bug_A__00006IMG_00006_BURST20190912100717.jpg,00006,fold_0,train
Eocanthecona_Bug_A__00006IMG_00006_BURST20190912100850.jpg,00006,fold_0,train
Eocanthecona_Bug_A__00006IMG_00006_BURST20190912101003.jpg,00006,fold_0,train
Eocanthecona_Bug_A__00006IMG_00006_BURST20190912101022.jpg,00006,fold_0,train
Eocanthecona_Bug_A__00006IMG_00006_BURST20190912101457.jpg,00006,fold_0,train
Eocanthecona_Bug_A__00006IMG_00006_BURST20190912101631.jpg,00006,fold_0,train
Eocanthecona_Bug_A__00006IMG_00006_BURST20190912101836.jpg,00006,fold_0,train
Eocanthecona_Bug_A__00006IMG_00006_BURST20190913102614.jpg,00006,fold_0,train
Eocanthecona_Bug_A__00006IMG_00006_BURST20190913102732.jpg,00006,fold_0,train
Eocanthecona_Bug_A__00006IMG_00006_BURST20190913102845.jpg,00006,fold_0,train
Eocanthecona_Bug_A__00006IMG_00006_BURST20190913103037.jpg,00006,fold_0,train
Eocanthecona_Bug_A__00006IMG_00006_BURST20190913115038.jpg,00006,fold_0,train
Eocanthecona_Bug_A__00007IMG_00007_BURST20190912100516.jpg,00007,fold_0,train
Eocanthecona_Bug_A__00007IMG_00007_BURST20190912100618.jpg,00007,fold_0,train
Eocanthecona_Bug_A__00007IMG_00007_BURST20190912100717.jpg,00007,fold_0,train
Eocanthecona_Bug_A__00007IMG_00007_BURST20190912100850.jpg,00007,fold_0,train
Eocanthecona_Bug_A__00007IMG_00007_BURST20190912101003.jpg,00007,fold_0,train
Eocanthecona_Bug_A__00007IMG_00007_BURST20190912101022.jpg,00007,fold_0,train
Eocanthecona_Bug_A__00007IMG_00007_BURST20190912101457.jpg,00007,fold_0,train
Eocanthecona_Bug_A__00007IMG_00007_BURST20190912101631.jpg,00007,fold_0,train
Eocanthecona_Bug_A__00007IMG_00007_BURST20190912101836.jpg,00007,fold_0,train
Eocanthecona_Bug_A__00007IMG_00007_BURST20190913102614.jpg,00007,fold_0,train
Eocanthecona_Bug_A__00007IMG_00007_BURST20190913102732.jpg,00007,fold_0,train
Eocanthecona_Bug_A__00007IMG_00007_BURST20190913102845.jpg,00007,fold_0,train
Eocanthecona_Bug_A__00007IMG_00007_BURST20190913103037.jpg,00007,fold_0,train
Eocanthecona_Bug_A__00007IMG_00007_BURST20190913115038.jpg,00007,fold_0,train
Eocanthecona_Bug_A__00008IMG_00008_BURST20190912100516.jpg,00008,fold_0,train
Eocanthecona_Bug_A__00008IMG_00008_BURST20190912100618.jpg,00008,fold_0,train
Eocanthecona_Bug_A__00008IMG_00008_BURST20190912100717.jpg,00008,fold_0,train
Eocanthecona_Bug_A__00008IMG_00008_BURST20190912100850.jpg,00008,fold_0,train
Eocanthecona_Bug_A__00008IMG_00008_BURST20190912101003.jpg,00008,fold_0,train
Eocanthecona_Bug_A__00008IMG_00008_BURST20190912101022.jpg,00008,fold_0,train
Eocanthecona_Bug_A__00008IMG_00008_BURST20190912101457.jpg,00008,fold_0,train
Eocanthecona_Bug_A__00008IMG_00008_BURST20190912101631.jpg,00008,fold_0,train
Eocanthecona_Bug_A__00008IMG_00008_BURST20190912101836.jpg,00008,fold_0,train
Eocanthecona_Bug_A__00008IMG_00008_BURST20190913102614.jpg,00008,fold_0,train
Eocanthecona_Bug_A__00008IMG_00008_BURST20190913102732.jpg,00008,fold_0,train
Eocanthecona_Bug_A__00008IMG_00008_BURST20190913102845.jpg,00008,fold_0,train
Eocanthecona_Bug_A__00008IMG_00008_BURST20190913103037.jpg,00008,fold_0,train
Eocanthecona_Bug_A__00008IMG_00008_BURST20190913115038.jpg,00008,fold_0,train
Eocanthecona_Bug_A__00009IMG_00009_BURST20190912100516.jpg,00009,fold_0,train
Eocanthecona_Bug_A__00009IMG_00009_BURST20190912100618.jpg,00009,fold_0,train
Eocanthecona_Bug_A__00009IMG_00009_BURST20190912100717.jpg,00009,fold_0,train
Eocanthecona_Bug_A__00009IMG_00009_BURST20190912100850.jpg,00009,fold_0,train
Eocanthecona_Bug_A__00009IMG_00009_BURST20190912101003.jpg,00009,fold_0,train
Eocanthecona_Bug_A__00009IMG_00009_BURST20190912101022.jpg,00009,fold_0,train
Eocanthecona_Bug_A__00009IMG_00009_BURST20190912101457.jpg,00009,fold_0,train
Eocanthecona_Bug_A__00009IMG_00009_BURST20190912101631.jpg,00009,fold_0,train
Eocanthecona_Bug_A__00009IMG_00009_BURST20190912101836.jpg,00009,fold_0,train
Eocanthecona_Bug_A__00009IMG_00009_BURST20190913102614.jpg,00009,fold_0,train
Eocanthecona_Bug_A__00009IMG_00009_BURST20190913102732.jpg,00009,fold_0,train
Eocanthecona_Bug_A__00009IMG_00009_BURST20190913102845.jpg,00009,fold_0,train
Eocanthecona_Bug_A__00009IMG_00009_BURST20190913103037.jpg,00009,fold_0,train
Eocanthecona_Bug_A__00009IMG_00009_BURST20190913115038.jpg,00009,fold_0,train
Eocanthecona_Bug_A__00010IMG_00010_BURST20190912100516.jpg,00010,fold_0,train
Eocanthecona_Bug_A__00010IMG_00010_BURST20190912100618.jpg,00010,fold_0,train
Eocanthecona_Bug_A__00010IMG_00010_BURST20190912100717.jpg,00010,fold_0,train
Eocanthecona_Bug_A__00010IMG_00010_BURST20190912100850.jpg,00010,fold_0,train
Eocanthecona_Bug_A__00010IMG_00010_BURST20190912101003.jpg,00010,fold_0,train
Eocanthecona_Bug_A__00010IMG_00010_BURST20190912101022.jpg,00010,fold_0,train
Eocanthecona_Bug_A__00010IMG_00010_BURST20190912101457.jpg,00010,fold_0,train
Eocanthecona_Bug_A__00010IMG_00010_BURST20190912101631.jpg,00010,fold_0,train
Eocanthecona_Bug_A__00010IMG_00010_BURST20190912101836.jpg,00010,fold_0,train
Eocanthecona_Bug_A__00010IMG_00010_BURST20190913102614.jpg,00010,fold_0,train
Eocanthecona_Bug_A__00010IMG_00010_BURST20190913102732.jpg,00010,fold_0,train
Eocanthecona_Bug_A__00010IMG_00010_BURST20190913102845.jpg,00010,fold_0,train
Eocanthecona_Bug_A__00010IMG_00010_BURST20190913103037.jpg,00010,fold_0,train
Eocanthecona_Bug_A__00010IMG_00010_BURST20190913115038.jpg,00010,fold_0,train
Eocanthecona_Bug_A__00012IMG_00012_BURST20190912100516.jpg,00012,fold_0,train
Eocanthecona_Bug_A__00012IMG_00012_BURST20190912100618.jpg,00012,fold_0,train
Eocanthecona_Bug_A__00012IMG_00012_BURST20190912100717.jpg,00012,fold_0,train
Eocanthecona_Bug_A__00012IMG_00012_BURST20190912100850.jpg,00012,fold_0,train
Eocanthecona_Bug_A__00012IMG_00012_BURST20190912101003.jpg,00012,fold_0,train
Eocanthecona_Bug_A__00012IMG_00012_BURST20190912101022.jpg,00012,fold_0,train
Eocanthecona_Bug_A__00012IMG_00012_BURST20190912101457.jpg,00012,fold_0,train
Eocanthecona_Bug_A__00012IMG_00012_BURST20190912101631.jpg,00012,fold_0,train
Eocanthecona_Bug_A__00012IMG_00012_BURST20190912101836.jpg,00012,fold_0,train
Eocanthecona_Bug_A__00012IMG_00012_BURST20190913102614.jpg,00012,fold_0,train
Eocanthecona_Bug_A__00012IMG_00012_BURST20190913102732.jpg,00012,fold_0,train
Eocanthecona_Bug_A__00012IMG_00012_BURST20190913102845.jpg,00012,fold_0,train
Eocanthecona_Bug_A__00012IMG_00012_BURST20190913103037.jpg,00012,fold_0,train
Eocanthecona_Bug_A__00012IMG_00012_BURST20190913115038.jpg,00012,fold_0,train
Eocanthecona_Bug_A__00013IMG_00013_BURST20190912100516.jpg,00013,fold_0,train
Eocanthecona_Bug_A__00013IMG_00013_BURST20190912100618.jpg,00013,fold_0,train
Eocanthecona_Bug_A__00013IMG_00013_BURST20190912100717.jpg,00013,fold_0,train
Eocanthecona_Bug_A__00013IMG_00013_BURST20190912100850.jpg,00013,fold_0,train
Eocanthecona_Bug_A__00013IMG_00013_BURST20190912101003.jpg,00013,fold_0,train
Eocanthecona_Bug_A__00013IMG_00013_BURST20190912101022.jpg,00013,fold_0,train
Eocanthecona_Bug_A__00013IMG_00013_BURST20190912101457.jpg,00013,fold_0,train
Eocanthecona_Bug_A__00013IMG_00013_BURST20190912101631.jpg,00013,fold_0,train
Eocanthecona_Bug_A__00013IMG_00013_BURST20190913102614.jpg,00013,fold_0,train
Eocanthecona_Bug_A__00013IMG_00013_BURST20190913102732.jpg,00013,fold_0,train
Eocanthecona_Bug_A__00013IMG_00013_BURST20190913102845.jpg,00013,fold_0,train
Eocanthecona_Bug_A__00013IMG_00013_BURST20190913103037.jpg,00013,fold_0,train
Eocanthecona_Bug_A__00013IMG_00013_BURST20190913115038.jpg,00013,fold_0,train
Eocanthecona_Bug_A__00014IMG_00014_BURST20190912100516.jpg,00014,fold_0,train
Eocanthecona_Bug_A__00014IMG_00014_BURST20190912100618.jpg,00014,fold_0,train
Eocanthecona_Bug_A__00014IMG_00014_BURST20190912100717.jpg,00014,fold_0,train
Eocanthecona_Bug_A__00014IMG_00014_BURST20190912100850.jpg,00014,fold_0,train
Eocanthecona_Bug_A__00014IMG_00014_BURST20190912101003.jpg,00014,fold_0,train
Eocanthecona_Bug_A__00014IMG_00014_BURST20190912101022.jpg,00014,fold_0,train
Eocanthecona_Bug_A__00014IMG_00014_BURST20190912101457.jpg,00014,fold_0,train
Eocanthecona_Bug_A__00014IMG_00014_BURST20190912101631.jpg,00014,fold_0,train
Eocanthecona_Bug_A__00014IMG_00014_BURST20190912101836.jpg,00014,fold_0,train
Eocanthecona_Bug_A__00014IMG_00014_BURST20190913102614.jpg,00014,fold_0,train
